Идентификатор записи,Фасет,Код позиции,Уникальный код (составной ключ),Наименование,Описание,Дата актуализации,Дата деактуализации,Номер изменения (актуализации),Номер изменения (деактуализации),Дата введения в действие,Статус записи
1,003,0239,003010239,Камерунцы,,2014-12-12,,0,,2015-07-01,Актуальный
2,003,0240,003010240,Канадцы,,2014-12-12,,0,,2015-07-01,Актуальный
3,003,0241,003010241,Кенийцы,,2014-12-12,,0,,2015-07-01,Актуальный
4,003,0242,003010242,Киприоты,,2014-12-12,,0,,2015-07-01,Актуальный
5,003,0243,003010243,Кистины,,2014-12-12,,0,,2015-07-01,Актуальный
6,003,0244,003010244,Колумбийцы,,2014-12-12,,0,,2015-07-01,Актуальный
7,003,0245,003010245,Коморцы,,2014-12-12,,0,,2015-07-01,Актуальный
8,003,0246,003010246,Конголезцы,,2014-12-12,,0,,2015-07-01,Актуальный
9,003,0247,003010247,Костариканцы,,2014-12-12,,0,,2015-07-01,Актуальный
10,003,0248,003010248,Котдивуарцы,,2014-12-12,,0,,2015-07-01,Актуальный
11,003,0249,003010249,Ланкийцы,,2014-12-12,,0,,2015-07-01,Актуальный
12,003,0250,003010250,Лаосцы,,2014-12-12,,0,,2015-07-01,Актуальный
13,003,0251,003010251,Лесотцы,,2014-12-12,,0,,2015-07-01,Актуальный
14,003,0252,003010252,Либерийцы,,2014-12-12,,0,,2015-07-01,Актуальный
15,003,0253,003010253,Лихтенштейнцы,,2014-12-12,,0,,2015-07-01,Актуальный
16,003,0254,003010254,Люксембуржцы,,2014-12-12,,0,,2015-07-01,Актуальный
17,003,0255,003010255,Маврикийцы,,2014-12-12,,0,,2015-07-01,Актуальный
18,003,0256,003010256,Малавийцы,,2014-12-12,,0,,2015-07-01,Актуальный
19,003,0257,003010257,Малагасийцы,,2014-12-12,,0,,2015-07-01,Актуальный
20,003,0258,003010258,Малайцы,,2014-12-12,,0,,2015-07-01,Актуальный
21,003,0259,003010259,Малийцы,,2014-12-12,,0,,2015-07-01,Актуальный
22,003,0260,003010260,Мальдивцы,,2014-12-12,,0,,2015-07-01,Актуальный
23,003,0261,003010261,Маньчжуры,,2014-12-12,,0,,2015-07-01,Актуальный
24,003,0262,003010262,Мексиканцы,,2014-12-12,,0,,2015-07-01,Актуальный
25,003,0263,003010263,Мозамбикцы,,2014-12-12,,0,,2015-07-01,Актуальный
26,003,0264,003010264,Монегаски,,2014-12-12,,0,,2015-07-01,Актуальный
27,003,0265,003010265,Намибийцы,,2014-12-12,,0,,2015-07-01,Актуальный
28,003,0266,003010266,Непальцы,,2014-12-12,,0,,2015-07-01,Актуальный
29,003,0267,003010267,Нигерийцы,,2014-12-12,,0,,2015-07-01,Актуальный
30,003,0268,003010268,Нигерцы,,2014-12-12,,0,,2015-07-01,Актуальный
31,003,0269,003010269,Никарагуанцы,,2014-12-12,,0,,2015-07-01,Актуальный
32,003,0270,003010270,Новогвинейцы,,2014-12-12,,0,,2015-07-01,Актуальный
33,003,0271,003010271,Новозеландцы,,2014-12-12,,0,,2015-07-01,Актуальный
34,003,0272,003010272,Норвежцы,,2014-12-12,,0,,2015-07-01,Актуальный
35,003,0273,003010273,Панамцы,,2014-12-12,,0,,2015-07-01,Актуальный
36,003,0274,003010274,Парагвайцы,,2014-12-12,,0,,2015-07-01,Актуальный
37,003,0275,003010275,Перуанцы,,2014-12-12,,0,,2015-07-01,Актуальный
38,003,0276,003010276,Полинезийцы,,2014-12-12,,0,,2015-07-01,Актуальный
39,003,0277,003010277,Португальцы,,2014-12-12,,0,,2015-07-01,Актуальный
40,003,0278,003010278,Пуэрториканцы,,2014-12-12,,0,,2015-07-01,Актуальный
41,003,0279,003010279,Россияне,,2014-12-12,,0,,2015-07-01,Актуальный
42,003,0280,003010280,Руандийцы,,2014-12-12,,0,,2015-07-01,Актуальный
43,003,0281,003010281,Сальвадорцы,,2014-12-12,,0,,2015-07-01,Актуальный
44,003,0282,003010282,Сантомийцы,,2014-12-12,,0,,2015-07-01,Актуальный
45,003,0283,003010283,Сенегальцы,,2014-12-12,,0,,2015-07-01,Актуальный
46,003,0284,003010284,Сибо,,2014-12-12,,0,,2015-07-01,Актуальный
47,003,0285,003010285,Сомалийцы,,2014-12-12,,0,,2015-07-01,Актуальный
48,003,0286,003010286,Суданцы,,2014-12-12,,0,,2015-07-01,Актуальный
49,003,0287,003010287,Сьерралеонцы,,2014-12-12,,0,,2015-07-01,Актуальный
50,003,0288,003010288,Таиландцы,,2014-12-12,,0,,2015-07-01,Актуальный
51,003,0289,003010289,Танзанийцы,,2014-12-12,,0,,2015-07-01,Актуальный
52,003,0290,003010290,Тоголезцы,,2014-12-12,,0,,2015-07-01,Актуальный
53,003,0291,003010291,Тонганцы,,2014-12-12,,0,,2015-07-01,Актуальный
54,003,0292,003010292,Тюрки,,2014-12-12,,0,,2015-07-01,Актуальный
55,003,0293,003010293,Угандийцы,,2014-12-12,,0,,2015-07-01,Актуальный
56,003,0294,003010294,Уругвайцы,,2014-12-12,,0,,2015-07-01,Актуальный
