"Название поля, рус.","Название поля, англ.",Описание,Тип,Размерность,Обязательность,Первичный ключ,Естественный ключ,Главное адресное поле,Дата календарного события,Связанный набор,Таблица в связанном наборе
Идентификатор записи,id,Идентификатор записи,Целое число,,Да,Да,False,False,False,,
Фасет,faset,Фасет,Строка,1000,Да,False,False,False,False,,
Код позиции,kod,Код позиции,Строка,1000,False,False,False,False,False,,
Уникальный код (составной ключ),key,Уникальный код (составной ключ),Строка,1000,Да,False,Да,False,False,,
Наименование,name,Наименование,Строка,4000,Да,False,False,False,False,,
Описание,description,Описание,Строка,4000,False,False,False,False,False,,
Дата актуализации,date_act,Дата (актуализации) принятия изменения,Дата,,Да,False,False,False,False,,
Дата деактуализации,date_deact,Дата (деактуализации) принятия изменения,Дата,,False,False,False,False,False,,
Номер изменения (актуализации),num_act,Номер изменения (актуализации),Целое число,,Да,False,False,False,False,,
Номер изменения (деактуализации),num_deact,Номер изменения (деактуализации,Целое число,,False,False,False,False,False,,
Дата введения в действие,date,Дата введения в действие,Дата,,False,False,False,False,False,,
Статус записи,status,Статус записи,Строка,1000,Да,False,False,False,False,,
